systematic_id	chromosome	primary_name	category	merged_into
SPNCRNA.1572	II		added_and_changed	
SPNCRNA.1573	II		added_and_changed	
SPNCRNA.1574	II		added_and_changed	
SPNCRNA.1575	II		added_and_changed	
SPNCRNA.1576	II		added_and_changed	
SPNCRNA.1577	II		added_and_changed	
SPNCRNA.1578	II		added_and_changed	
SPNCRNA.1579	II		added_and_changed	
SPNCRNA.158	I		added_and_changed	
SPNCRNA.1580	II		added_and_changed	
SPNCRNA.1581	II		added_and_changed	
SPNCRNA.1582	II		added_and_changed	
SPNCRNA.1583	II		added_and_changed	
SPNCRNA.1584	II		added_and_changed	
SPNCRNA.1585	II		added_and_changed	
SPNCRNA.1586	II		added_and_changed	
SPNCRNA.1587	II		added_and_changed	
SPNCRNA.1588	II		added_and_changed	
SPNCRNA.1589	II		added_and_changed	
SPNCRNA.159	I		added_and_changed	
SPNCRNA.1590	II		added_and_changed	
SPNCRNA.1591	II		added_and_changed	
SPNCRNA.1592	II		added_and_changed	
SPNCRNA.1593	II		added_and_changed	
SPNCRNA.1594	II		added_and_changed	
SPNCRNA.1595	II		added_and_changed	
SPNCRNA.1596	II		added_and_changed	
SPNCRNA.1597	II		added_and_changed	
SPNCRNA.1598	II		added_and_changed	
SPNCRNA.1599	II		added_and_changed	
SPNCRNA.16	III	prl16	added_and_changed	
SPNCRNA.160	I		added_and_changed	
SPNCRNA.1600	II		added_and_changed	
SPNCRNA.1601	II		added_and_changed	
SPNCRNA.1602	II		added_and_changed	
SPNCRNA.1603	II		added_and_changed	
SPNCRNA.1604	II		added_and_changed	
SPNCRNA.1605	II		added_and_changed	
SPNCRNA.1606	II		added_and_changed	
SPNCRNA.1607	II		added_and_changed	
SPNCRNA.1608	II		added_and_changed	
SPNCRNA.1609	II		added_and_changed	
SPNCRNA.1610	II		added_and_changed	
SPNCRNA.1611	II		added_and_changed	
SPNCRNA.1612	II		added_and_changed	
SPNCRNA.1613	II		added_and_changed	
SPNCRNA.1614	II		added_and_changed	
SPNCRNA.1615	II		added_and_changed	
SPNCRNA.1616	II		added_and_changed	
SPNCRNA.1617	II		added_and_changed	
SPNCRNA.1618	II		added_and_changed	
SPNCRNA.1619	II		added_and_changed	
SPNCRNA.162	I		added_and_removed	
SPNCRNA.1620	II		added_and_changed	
SPNCRNA.1621	II		added_and_changed	
SPNCRNA.1622	II		added_and_changed	
SPNCRNA.1623	II		added_and_changed	
SPNCRNA.1624	II		added_and_changed	
SPNCRNA.1625	II		added_and_changed	
SPNCRNA.1626	II		added_and_changed	
SPNCRNA.1627	II		added_and_changed	
SPNCRNA.1628	II		added_and_changed	
SPNCRNA.1629	II		added_and_changed	
SPNCRNA.163	I		added_and_changed	
SPNCRNA.1630	II		added_and_changed	
SPNCRNA.1631	II		added_changed_and_merged	SPNCRNA.428
SPNCRNA.1632	II		added_and_changed	
SPNCRNA.1633	II		added_and_changed	
SPNCRNA.1634	II		added_and_changed	
SPNCRNA.1635	II		added_and_changed	
SPNCRNA.1636	II		added_and_changed	
SPNCRNA.1637	II		added_and_changed	
SPNCRNA.1638	II		added_and_changed	
SPNCRNA.1639	II		added_and_changed	
SPNCRNA.164	I		added_and_changed	
SPNCRNA.1640	II		added_and_changed	
SPNCRNA.1641	II		added_and_changed	
SPNCRNA.1642	II		added_and_changed	
SPNCRNA.1643	II		added_and_changed	
SPNCRNA.1644	II		added_and_changed	
SPNCRNA.1645	II		added_and_changed	
SPNCRNA.1646	II		added_and_changed	
SPNCRNA.1647	II		added_and_changed	
SPNCRNA.1648	II		added_and_changed	
SPNCRNA.1649	II		added_and_changed	
SPNCRNA.1650	II		added_and_changed	
SPNCRNA.1651	II		added_and_changed	
SPNCRNA.1652	II		added_and_removed	
SPNCRNA.1653	II		added_and_changed	
SPNCRNA.1654	II		added_and_changed	
SPNCRNA.1655	II		added_and_changed	
SPNCRNA.1656	II		added_and_changed	
SPNCRNA.1657	II		added_and_changed	
SPNCRNA.1658	II		added_and_changed	
SPNCRNA.1659	II		added_and_changed	
SPNCRNA.166	I		added_and_changed	
SPNCRNA.1660	II		added_and_changed	
SPNCRNA.1661	II		added_and_changed	
SPNCRNA.1662	II		added_and_changed	
SPNCRNA.1663	II		added_and_changed	
SPNCRNA.1664	II		added_and_changed	
SPNCRNA.1665	II		added_and_changed	
SPNCRNA.1666	II		added_and_changed	
SPNCRNA.1667	II		added_and_changed	
SPNCRNA.1668	II		added_and_changed	
SPNCRNA.1669	II		added_and_changed	
SPNCRNA.1670	II		added_and_changed	
SPNCRNA.1671	II		added_and_changed	
SPNCRNA.1672	II		added_and_changed	
SPNCRNA.1673	II		added_and_changed	
SPNCRNA.1674	II		added_and_changed	
SPNCRNA.1675	II		added_and_changed	
SPNCRNA.1676	II		added_and_changed	
SPNCRNA.1677	II		added_and_changed	
SPNCRNA.1678	II		added_and_changed	
SPNCRNA.1679	II		added_changed_and_removed	
SPNCRNA.168	I		added_and_changed	
SPNCRNA.1680	II		added_and_changed	
SPNCRNA.1681	II		added_and_changed	
SPNCRNA.1682	II		added_and_changed	
SPNCRNA.1683	II		added_and_changed	
SPNCRNA.1684	II		added_and_changed	
SPNCRNA.1685	II		added_and_changed	
SPNCRNA.1686	II		added_and_changed	
SPNCRNA.1687	II		added_and_changed	
SPNCRNA.1688	II	nc-tgp1	added_and_changed	
SPNCRNA.1689	II		added_and_changed	
SPNCRNA.169	I		added_and_changed	
SPNCRNA.1690	II		added_and_changed	
SPNCRNA.1691	II		added_and_changed	
SPNCRNA.1692	II		added_and_changed	
SPNCRNA.1693	II		added_and_changed	
SPNCRNA.1694	II		added_and_changed	
SPNCRNA.1695	II		added_and_changed	
SPNCRNA.1696	II		added_and_changed	
SPNCRNA.1697	II		added_and_changed	
SPNCRNA.1698	II	nc-tgp1	added	
SPNCRNA.17	II	meu11	added_and_changed	
SPNCRNA.1701	I	prl101	added	
SPNCRNA.1702	I	prl104	added_and_changed	
SPNCRNA.1703	I	prl105	added	
SPNCRNA.1704	I	prl107	added	
SPNCRNA.1705	I	prl108	added	
SPNCRNA.1706	III	prl106	added_and_changed	
SPNCRNA.1707	II	prl102	added	
SPNCRNA.1708	II	prl103	added	
SPNCRNA.1709	II		added_and_changed	
SPNCRNA.171	I		added_and_changed	
SPNCRNA.1710	III	adh1-antisense-1	added	
SPNCRNA.1711	III	adh1-antisense-2	added_and_merged	SPNCRNA.1710
SPNCRNA.1712	II		added	
SPNCRNA.173	I		added_and_changed	
SPNCRNA.174	I		added_and_changed	
SPNCRNA.175	I		added_and_changed	
SPNCRNA.177	I		added_and_changed	
SPNCRNA.178	I		added_and_changed	
SPNCRNA.18	I		added_changed_and_removed	
SPNCRNA.181	I		added_and_changed	
SPNCRNA.182	I		added_and_changed	
SPNCRNA.184	I		added_and_changed	
SPNCRNA.185	I		added_and_changed	
SPNCRNA.186	I		added_and_changed	
SPNCRNA.187	I		added_and_changed	
SPNCRNA.188	I		added_and_changed	
SPNCRNA.189	I		added_and_changed	
SPNCRNA.19	I	prl19	added_and_changed	
SPNCRNA.190	I		added_and_changed	
SPNCRNA.192	I		added_and_changed	
SPNCRNA.193	I		added_changed_and_removed	
SPNCRNA.194	I		added_and_changed	
SPNCRNA.195	I		added_and_changed	
SPNCRNA.197	I		added_and_changed	
SPNCRNA.198	I		added_and_changed	
SPNCRNA.199	I		added_and_changed	
SPNCRNA.20	II	prl20	added_and_changed	
SPNCRNA.200	I		added_and_changed	
SPNCRNA.2000	I		added	
SPNCRNA.2001	I		added_and_changed	
SPNCRNA.2002	I		added_and_changed	
SPNCRNA.2003	I		added	
SPNCRNA.2004	I		added	
SPNCRNA.2005	I		added	
SPNCRNA.2006	I		added	
SPNCRNA.2007	I		added	
SPNCRNA.2008	I		added	
SPNCRNA.2009	I		added	
SPNCRNA.201	I		added_and_changed	
SPNCRNA.2010	I		added_and_merged	SPNCRNA.1701
SPNCRNA.2011	I		added	
SPNCRNA.2012	I		added	
SPNCRNA.2013	I		added	
SPNCRNA.2014	I		added	
SPNCRNA.2015	I		added	
SPNCRNA.2016	I		added	
SPNCRNA.2017	I		added	
SPNCRNA.2018	I		added	
SPNCRNA.2019	I		added	
SPNCRNA.202	I		added_and_changed	
SPNCRNA.2020	I		added	
SPNCRNA.2021	I		added	
SPNCRNA.2022	I		added	
SPNCRNA.2023	I		added	
SPNCRNA.2024	I		added	
SPNCRNA.2025	I		added	
SPNCRNA.2026	I		added	
SPNCRNA.2027	I		added	
SPNCRNA.2028	I		added	
SPNCRNA.2029	I		added	
SPNCRNA.2030	I		added	
SPNCRNA.2031	I		added	
SPNCRNA.2032	I		added	
SPNCRNA.2033	I		added	
SPNCRNA.2034	I		added	
SPNCRNA.2035	I		added	
SPNCRNA.2036	I		added	
SPNCRNA.2037	I		added	
SPNCRNA.2038	I		added	
SPNCRNA.2039	I		added	
SPNCRNA.204	I		added_and_changed	
SPNCRNA.2040	I		added	
SPNCRNA.2041	I		added	
SPNCRNA.2042	I		added	
SPNCRNA.2043	I		added	
SPNCRNA.2044	I		added	
SPNCRNA.2045	I		added	
SPNCRNA.2046	I		added	
SPNCRNA.2047	I		added	
SPNCRNA.2048	I		added	
SPNCRNA.2049	I		added	
SPNCRNA.205	I		added_and_changed	
SPNCRNA.2050	I		added	
SPNCRNA.2051	I		added	
SPNCRNA.2052	I		added	
SPNCRNA.2053	I		added	
SPNCRNA.2054	I		added	
SPNCRNA.2055	I		added	
SPNCRNA.2056	I		added	
SPNCRNA.2057	I		added	
SPNCRNA.2058	I		added	
SPNCRNA.2059	I		added	
SPNCRNA.2060	I		added	
SPNCRNA.2061	I		added	
SPNCRNA.2062	I		added	
SPNCRNA.2063	I		added	
SPNCRNA.2064	I		added	
SPNCRNA.2065	I		added	
SPNCRNA.2066	I		added	
SPNCRNA.2067	I		added	
SPNCRNA.2068	I		added	
SPNCRNA.2069	I		added	
SPNCRNA.2070	I		added	
SPNCRNA.2071	I		added	
SPNCRNA.2072	I		added	
SPNCRNA.2073	I		added	
SPNCRNA.2074	I		added	
SPNCRNA.2075	I		added	
SPNCRNA.2076	I		added	
SPNCRNA.2077	I		added	
SPNCRNA.2078	I		added	
SPNCRNA.2079	I		added	
SPNCRNA.208	I		added_and_changed	
SPNCRNA.2080	I		added	
SPNCRNA.2081	I		added	
SPNCRNA.2082	I		added	
SPNCRNA.2083	I		added	
SPNCRNA.2084	I		added	
SPNCRNA.2085	I		added	
SPNCRNA.2086	I		added	
SPNCRNA.2087	I		added	
SPNCRNA.2088	I		added	
SPNCRNA.2089	I		added	
SPNCRNA.209	I		added_and_changed	
SPNCRNA.2090	I		added	
SPNCRNA.2091	I		added	
SPNCRNA.2092	I		added	
SPNCRNA.2093	I		added	
SPNCRNA.2094	I		added	
SPNCRNA.2095	I		added	
SPNCRNA.2096	I		added	
SPNCRNA.2097	I		added	
SPNCRNA.2098	I		added	
SPNCRNA.2099	I		added	
SPNCRNA.21	I	prl21	added_and_changed	
SPNCRNA.210	I		added_and_changed	
SPNCRNA.2100	I		added	
SPNCRNA.2101	I		added	
SPNCRNA.2102	I		added	
SPNCRNA.2103	I		added	
SPNCRNA.2104	I		added	
SPNCRNA.2105	I		added	
SPNCRNA.2106	I		added	
SPNCRNA.2107	I		added	
SPNCRNA.2108	I		added	
SPNCRNA.2109	I		added	
SPNCRNA.2110	I		added	
SPNCRNA.2111	I		added	
SPNCRNA.2112	I		added	
SPNCRNA.2113	I		added	
SPNCRNA.2114	I		added	
SPNCRNA.2115	I		added	
SPNCRNA.2116	I		added	
SPNCRNA.2117	I		added	
SPNCRNA.2118	I		added	
SPNCRNA.2119	I		added	
SPNCRNA.212	I		added_and_changed	
SPNCRNA.2120	I		added	
SPNCRNA.2121	I		added	
SPNCRNA.2122	I		added	
SPNCRNA.2123	I		added	
SPNCRNA.2124	I		added	
SPNCRNA.2125	I		added	
SPNCRNA.2126	I		added	
SPNCRNA.2127	I		added	
SPNCRNA.2128	I		added	
SPNCRNA.2129	I		added	
SPNCRNA.213	I		added_and_changed	
SPNCRNA.2130	I		added	
SPNCRNA.2131	I		added	
SPNCRNA.2132	I		added	
SPNCRNA.2133	I		added	
SPNCRNA.2134	I		added	
SPNCRNA.2135	I		added	
SPNCRNA.2136	I		added	
SPNCRNA.2137	I		added	
SPNCRNA.2138	I		added	
SPNCRNA.2139	I		added	
SPNCRNA.214	I	ter1	added_and_changed	
SPNCRNA.2140	I		added	
SPNCRNA.2141	I		added	
SPNCRNA.2142	I		added	
SPNCRNA.2143	I		added	
SPNCRNA.2144	I		added	
SPNCRNA.2145	I		added	
SPNCRNA.2146	I		added	
SPNCRNA.2147	I		added	
SPNCRNA.2148	I		added	
SPNCRNA.2149	I		added	
SPNCRNA.215	I		added_and_changed	
SPNCRNA.2150	I		added	
SPNCRNA.2151	I		added	
SPNCRNA.2152	I		added	
SPNCRNA.2153	I		added	
SPNCRNA.2154	I		added	
SPNCRNA.2155	I		added	
SPNCRNA.2156	I		added	
SPNCRNA.2157	I		added	
SPNCRNA.2158	I		added	
SPNCRNA.2159	I		added	
SPNCRNA.216	I		added_and_changed	
SPNCRNA.2160	I		added	
SPNCRNA.2161	I		added	
SPNCRNA.2162	I		added	
SPNCRNA.2163	I		added	
SPNCRNA.2164	I		added	
SPNCRNA.2165	I		added	
SPNCRNA.2166	I		added	
SPNCRNA.2167	I		added	
SPNCRNA.2168	I		added	
SPNCRNA.2169	I		added	
SPNCRNA.217	I		added_and_changed	
SPNCRNA.2170	I		added	
SPNCRNA.2171	I		added	
SPNCRNA.2172	I		added	
SPNCRNA.2173	I		added	
SPNCRNA.2174	I		added	
SPNCRNA.2175	I		added	
SPNCRNA.2176	I		added	
SPNCRNA.2177	I		added	
SPNCRNA.2178	I		added	
SPNCRNA.2179	I		added	
SPNCRNA.218	I		added_and_changed	
SPNCRNA.2180	I		added	
SPNCRNA.2181	I		added	
SPNCRNA.2182	I		added	
SPNCRNA.2183	I		added	
SPNCRNA.2184	I		added	
SPNCRNA.2185	I		added	
SPNCRNA.2186	I		added	
SPNCRNA.2187	I		added	
SPNCRNA.2188	I		added	
SPNCRNA.2189	I		added	
SPNCRNA.219	I		added_and_changed	
SPNCRNA.2190	I		added	
SPNCRNA.2191	I		added	
SPNCRNA.2192	I		added	
SPNCRNA.2193	I		added	
SPNCRNA.2194	I		added	
SPNCRNA.2195	I		added	
SPNCRNA.2196	I		added	
SPNCRNA.2197	I		added	
SPNCRNA.2198	I		added	
SPNCRNA.2199	I		added	
SPNCRNA.22	III	prl22	added_and_changed	
SPNCRNA.220	I		added_and_changed	
SPNCRNA.2200	I		added	
SPNCRNA.2201	I		added	
SPNCRNA.2202	I		added	
SPNCRNA.2203	I		added	
SPNCRNA.2204	I		added	
SPNCRNA.2205	I		added	
SPNCRNA.2206	I		added	
SPNCRNA.2207	I		added	
SPNCRNA.2208	I		added	
SPNCRNA.2209	I		added	
SPNCRNA.221	I		added_and_removed	
SPNCRNA.2210	I		added	
SPNCRNA.2211	I		added	
SPNCRNA.2212	I		added	
SPNCRNA.2213	I		added	
SPNCRNA.2214	I		added	
SPNCRNA.2215	I		added	
SPNCRNA.2216	I		added	
SPNCRNA.2217	I		added	
SPNCRNA.2218	I		added	
SPNCRNA.2219	I		added	
SPNCRNA.222	I		added_and_changed	
SPNCRNA.2220	I		added	
SPNCRNA.2221	I		added	
SPNCRNA.2222	I		added	
SPNCRNA.2223	I		added	
SPNCRNA.2224	I		added	
SPNCRNA.2225	I		added	
SPNCRNA.2226	I		added	
SPNCRNA.2227	I		added	
SPNCRNA.2228	I		added	
SPNCRNA.2229	I		added	
SPNCRNA.223	I		added_changed_and_removed	
SPNCRNA.2230	I		added	
SPNCRNA.2231	I		added	
SPNCRNA.2232	I		added	
SPNCRNA.2233	I		added	
SPNCRNA.2234	I		added	
SPNCRNA.2235	I		added	
SPNCRNA.2236	I		added	
SPNCRNA.2237	I		added	
SPNCRNA.2238	I		added	
SPNCRNA.2239	I		added	
SPNCRNA.2240	I		added	
SPNCRNA.2241	I		added	
SPNCRNA.2242	I		added	
SPNCRNA.2243	I		added	
SPNCRNA.2244	I		added	
SPNCRNA.2245	I		added	
SPNCRNA.2246	I		added	
SPNCRNA.2247	I		added	
SPNCRNA.2248	I		added	
SPNCRNA.2249	I		added	
SPNCRNA.2250	I		added	
SPNCRNA.2251	I		added	
SPNCRNA.2252	I		added	
SPNCRNA.2253	I		added	
SPNCRNA.2254	I		added	
SPNCRNA.2255	I		added	
SPNCRNA.2256	I		added	
SPNCRNA.2257	I		added	
SPNCRNA.2258	I		added	
SPNCRNA.2259	I		added	
SPNCRNA.226	I		added_and_changed	
SPNCRNA.2260	I		added	
SPNCRNA.2261	I		added	
SPNCRNA.2262	I		added	
SPNCRNA.2263	I		added	
SPNCRNA.2264	I		added	
SPNCRNA.2265	I		added	
SPNCRNA.2266	I		added	
SPNCRNA.2267	I		added	
SPNCRNA.2268	I		added	
SPNCRNA.2269	I		added	
SPNCRNA.227	I		added_changed_and_merged	SPNCRNA.921
SPNCRNA.2270	I		added	
SPNCRNA.2271	I		added	
SPNCRNA.2272	I		added	
SPNCRNA.2273	I		added	
SPNCRNA.2274	I		added	
SPNCRNA.2275	I		added	
SPNCRNA.2276	I		added	
SPNCRNA.2277	I		added	
SPNCRNA.2278	I		added	
SPNCRNA.2279	I		added	
SPNCRNA.228	I		added_and_changed	
SPNCRNA.2280	I		added	
SPNCRNA.2281	I		added	
SPNCRNA.2282	I		added	
SPNCRNA.2283	I		added	
SPNCRNA.2284	I		added	
SPNCRNA.2285	I		added	
SPNCRNA.2286	I		added	
SPNCRNA.2287	I		added	
SPNCRNA.2288	I		added	
SPNCRNA.2289	I		added	
SPNCRNA.229	I		added_and_changed	
SPNCRNA.2290	I		added	
SPNCRNA.2291	I		added	
SPNCRNA.2292	I		added	
SPNCRNA.2293	I		added	
SPNCRNA.2294	I		added	
SPNCRNA.2295	I		added	
SPNCRNA.2296	I		added	
SPNCRNA.2297	I		added	
SPNCRNA.2298	I		added	
SPNCRNA.2299	I		added	
SPNCRNA.23	II	prl23	added_and_changed	
SPNCRNA.230	I		added_and_changed	
SPNCRNA.2300	I		added	
SPNCRNA.2301	I		added	
SPNCRNA.2302	I		added	
SPNCRNA.2303	I		added	
SPNCRNA.2304	I		added	
SPNCRNA.2305	I		added	
SPNCRNA.2306	I		added	
SPNCRNA.2307	I		added	
SPNCRNA.2308	I		added	
SPNCRNA.2309	I		added	
SPNCRNA.231	I		added_and_changed	
SPNCRNA.2310	I		added	
SPNCRNA.2311	I		added	
SPNCRNA.2312	I		added	
SPNCRNA.2313	I		added	
SPNCRNA.2314	I		added	
SPNCRNA.2315	I		added	
SPNCRNA.2316	I		added	
SPNCRNA.2317	I		added	
SPNCRNA.2318	I		added	
SPNCRNA.2319	I		added	
SPNCRNA.232	I		added_and_changed	
SPNCRNA.2320	I		added	
SPNCRNA.2321	I		added	
SPNCRNA.2322	I		added	
SPNCRNA.2323	I		added	
SPNCRNA.2324	I		added	
SPNCRNA.2325	I		added	
SPNCRNA.2326	I		added	
SPNCRNA.2327	I		added	
SPNCRNA.2328	I		added	
SPNCRNA.2329	I		added	
SPNCRNA.233	I		added_and_changed	
SPNCRNA.2330	I		added	
SPNCRNA.2331	I		added	
SPNCRNA.2332	I		added	
SPNCRNA.2333	I		added	
SPNCRNA.2334	I		added	
SPNCRNA.2335	I		added	
SPNCRNA.2336	I		added	
SPNCRNA.2337	I		added	
SPNCRNA.2338	I		added	
SPNCRNA.2339	I		added	
SPNCRNA.234	I		added_and_changed	
SPNCRNA.2340	I		added	
SPNCRNA.2341	I		added	
SPNCRNA.2342	I		added	
SPNCRNA.2343	I		added	
SPNCRNA.2344	I		added	
SPNCRNA.2345	I		added	
SPNCRNA.2346	I		added	
SPNCRNA.2347	I		added	
SPNCRNA.2348	I		added	
SPNCRNA.2349	I		added	
SPNCRNA.235	I		added_and_removed	
SPNCRNA.2350	I		added	
SPNCRNA.2351	I		added	
SPNCRNA.2352	I		added	
SPNCRNA.2353	I		added	
SPNCRNA.2354	I		added	
SPNCRNA.2355	I		added	
SPNCRNA.2356	I		added	
SPNCRNA.2357	I		added	
SPNCRNA.2358	I		added	
SPNCRNA.2359	I		added	
SPNCRNA.236	I		added_and_changed	
SPNCRNA.2360	I		added	
SPNCRNA.2361	I		added	
SPNCRNA.2362	I		added	
SPNCRNA.2363	I		added	
SPNCRNA.2364	I		added	
SPNCRNA.2365	I		added	
SPNCRNA.2366	I		added	
SPNCRNA.2367	I		added	
SPNCRNA.2368	I		added	
SPNCRNA.2369	I		added	
SPNCRNA.237	I		added_and_changed	
SPNCRNA.2370	I		added	
SPNCRNA.2371	I		added	
SPNCRNA.2372	I		added	
SPNCRNA.2373	I		added	
SPNCRNA.2374	I		added	
SPNCRNA.2375	I		added	
SPNCRNA.2376	I		added	
SPNCRNA.2377	I		added	
SPNCRNA.2378	I		added	
SPNCRNA.2379	I		added	
SPNCRNA.2380	I		added	
SPNCRNA.2381	I		added	
SPNCRNA.2382	I		added	
SPNCRNA.2383	I		added	
SPNCRNA.2384	I		added	
SPNCRNA.2385	I		added	
SPNCRNA.2386	I		added	
SPNCRNA.2387	I		added	
SPNCRNA.2388	I		added	
SPNCRNA.2389	I		added	
SPNCRNA.239	I		added_and_changed	
SPNCRNA.2390	I		added	
SPNCRNA.2391	I		added	
SPNCRNA.2392	I		added	
SPNCRNA.2393	I		added	
SPNCRNA.2394	I		added	
SPNCRNA.2395	I		added	
SPNCRNA.2396	I		added	
SPNCRNA.2397	I		added	
SPNCRNA.2398	I		added	
SPNCRNA.2399	I		added	
SPNCRNA.24	II	prl24	added_and_changed	
SPNCRNA.240	I		added_and_changed	
SPNCRNA.2400	I		added	
SPNCRNA.2401	I		added	
SPNCRNA.2402	I		added	
SPNCRNA.2403	I		added	
SPNCRNA.2404	I		added	
SPNCRNA.2405	I		added	
SPNCRNA.2406	I		added	
SPNCRNA.2407	I		added	
SPNCRNA.2408	I		added	
SPNCRNA.2409	I		added	
SPNCRNA.2410	I		added	
SPNCRNA.2411	I		added	
SPNCRNA.2412	I		added	
SPNCRNA.2413	I		added	
SPNCRNA.2414	I		added	
SPNCRNA.2415	I		added	
SPNCRNA.2416	I		added	
SPNCRNA.2417	I		added	
SPNCRNA.2418	I		added	
SPNCRNA.2419	I		added	
SPNCRNA.242	I		added_and_changed	
SPNCRNA.2420	I		added	
SPNCRNA.2421	I		added	
SPNCRNA.2422	I		added	
SPNCRNA.2423	I		added	
SPNCRNA.2424	I		added	
SPNCRNA.2425	I		added	
SPNCRNA.2426	I		added	
SPNCRNA.2427	I		added	
SPNCRNA.2428	I		added	
SPNCRNA.2429	I		added	
SPNCRNA.243	I		added_and_changed	
SPNCRNA.2430	I		added	
SPNCRNA.2431	I		added	
SPNCRNA.2432	I		added	
SPNCRNA.2433	I		added	
SPNCRNA.2434	I		added	
SPNCRNA.2435	I		added	
SPNCRNA.2436	I		added	
SPNCRNA.2437	I		added	
SPNCRNA.2438	I		added	
SPNCRNA.2439	I		added	
SPNCRNA.244	I		added_and_changed	
SPNCRNA.2440	I		added	
SPNCRNA.2441	I		added	
SPNCRNA.2442	I		added	
SPNCRNA.2443	I		added	
SPNCRNA.2444	I		added	
SPNCRNA.2445	I		added	
SPNCRNA.2446	I		added	
SPNCRNA.2447	I		added	
SPNCRNA.2448	I		added	
SPNCRNA.2449	I		added	
SPNCRNA.245	I		added_changed_and_removed	
SPNCRNA.2450	I		added	
SPNCRNA.2451	I		added	
SPNCRNA.2452	I		added	
SPNCRNA.2453	I		added	
SPNCRNA.2454	I		added	
SPNCRNA.2455	I		added	
SPNCRNA.2456	I		added	
SPNCRNA.2457	I		added	
SPNCRNA.2458	I		added	
SPNCRNA.2459	I		added	
SPNCRNA.246	I		added_and_changed	
SPNCRNA.2460	I		added	
SPNCRNA.2461	I		added	
SPNCRNA.2462	I		added	
SPNCRNA.2463	I		added	
SPNCRNA.2464	I		added	
SPNCRNA.2465	I		added	
SPNCRNA.2466	I		added	
SPNCRNA.2467	I		added	
SPNCRNA.2468	I		added	
SPNCRNA.2469	I		added	
SPNCRNA.247	I		added_and_changed	
SPNCRNA.2470	I		added	
SPNCRNA.2471	I		added	
SPNCRNA.2472	I		added	
SPNCRNA.2473	I		added	
SPNCRNA.2474	I		added	
SPNCRNA.2475	I		added	
SPNCRNA.2476	I		added	
SPNCRNA.2477	I		added	
SPNCRNA.2478	I		added	
SPNCRNA.2479	I		added	
SPNCRNA.248	I		added_and_changed	
SPNCRNA.2480	I		added	
SPNCRNA.2481	I		added	
SPNCRNA.2482	I		added	
SPNCRNA.2483	I		added	
SPNCRNA.2484	I		added	
SPNCRNA.2485	I		added	
SPNCRNA.2486	I		added	
SPNCRNA.2487	I		added	
SPNCRNA.2488	I		added	
SPNCRNA.2489	I		added	
SPNCRNA.249	I		added_and_changed	
SPNCRNA.2490	I		added	
SPNCRNA.2491	I		added	
SPNCRNA.2492	I		added	
SPNCRNA.2493	I		added	
SPNCRNA.2494	I		added	
SPNCRNA.2495	I		added	
SPNCRNA.2496	I		added	
SPNCRNA.2497	I		added	
SPNCRNA.2498	I		added	
SPNCRNA.2499	I		added	
SPNCRNA.25	II	prl25	added_and_changed	
SPNCRNA.2500	I		added	
SPNCRNA.2501	I		added	
SPNCRNA.2502	I		added	
SPNCRNA.2503	I		added	
SPNCRNA.2504	I		added	
SPNCRNA.2505	I		added	
SPNCRNA.2506	I		added	
SPNCRNA.2507	I		added	
SPNCRNA.2508	I		added	
SPNCRNA.2509	I		added	
SPNCRNA.2510	I		added	
SPNCRNA.2511	I		added	
SPNCRNA.2512	I		added	
SPNCRNA.2513	I		added	
SPNCRNA.2514	I		added	
SPNCRNA.2515	I		added	
SPNCRNA.2516	I		added	
SPNCRNA.2517	I		added	
SPNCRNA.2518	I		added	
SPNCRNA.2519	I		added	
SPNCRNA.252	I		added_and_changed	
SPNCRNA.2520	I		added	
SPNCRNA.2521	I		added	
SPNCRNA.2522	I		added	
SPNCRNA.2523	I		added	
SPNCRNA.2524	I		added	
SPNCRNA.2525	I		added	
SPNCRNA.2526	I		added	
SPNCRNA.2527	I		added	
SPNCRNA.2528	I		added	
SPNCRNA.2529	I		added	
SPNCRNA.253	I		added_and_changed	
SPNCRNA.2530	I		added	
SPNCRNA.2531	I		added	
SPNCRNA.2532	I		added	
SPNCRNA.2533	I		added	
SPNCRNA.2534	I		added	
SPNCRNA.2535	I		added	
SPNCRNA.2536	I		added	
SPNCRNA.2537	I		added	
SPNCRNA.2538	I		added	
SPNCRNA.2539	I		added	
SPNCRNA.254	I		added_and_changed	
SPNCRNA.2540	I		added	
SPNCRNA.2541	I		added	
SPNCRNA.2542	I		added	
SPNCRNA.2543	I		added	
SPNCRNA.2544	I		added	
SPNCRNA.2545	I		added	
SPNCRNA.2546	I		added	
SPNCRNA.2547	I		added	
SPNCRNA.2548	I		added	
SPNCRNA.2549	I		added	
SPNCRNA.255	I		added_and_changed	
SPNCRNA.2550	I		added	
SPNCRNA.2551	I		added	
SPNCRNA.2552	I		added	
SPNCRNA.2553	I		added	
SPNCRNA.2554	I		added	
SPNCRNA.2555	I		added	
SPNCRNA.2556	I		added	
SPNCRNA.2557	I		added	
SPNCRNA.2558	I		added	
SPNCRNA.2559	I		added	
SPNCRNA.256	I		added_and_changed	
SPNCRNA.2560	I		added	
SPNCRNA.2561	I		added	
SPNCRNA.2562	I		added	
SPNCRNA.2563	I		added	
SPNCRNA.2564	I		added	
SPNCRNA.2565	I		added	
SPNCRNA.2566	I		added	
SPNCRNA.2567	I		added	
SPNCRNA.2568	I		added	
SPNCRNA.2569	I		added	
SPNCRNA.257	I		added_and_changed	
SPNCRNA.2570	I		added	
