systematic_id	chromosome	primary_name	feature_type	category	merged_into	earliest_change	latest_change	latest_coords	comment_addition	reference_addition	comment_removal	reference_removal
SPBC1348.08c	II		CDS	added		2003-08-14	2003-08-14	complement(22279..23529)		PMID:21511999		
SPBC1348.09	II		CDS	added		2003-08-14	2003-08-14	24916..25626				
SPBC1348.10c	II		CDS	added		2003-08-14	2003-08-14	complement(join(26287..26355,26420..28372))				
SPBC1348.11	II		CDS	added_and_changed		2003-08-14	2010-01-29	join(33231..33602,33608..34291,34295..34780)				
SPBC1348.12	II		CDS	added_and_changed		2003-08-14	2010-01-29	join(35112..35171,35211..35612,35748..35883,35928..36125,36234..36589)				
SPBC1348.13	II		CDS	changed_and_merged	SPNUMT.1	2003-08-14	2011-11-20	36892..37188			Coordinates updated; now annotated as nuclear mitochondrial pseudogene (SO:0001044)	PomBase curators
SPBC1348.14c	II		CDS	added		2003-08-14	2003-08-14	complement(38587..40143)		PMID:21511999		
SPBC1348.15	II		CDS	added		2011-03-24	2011-03-24	complement(304..693)		PMID:21511999		
SPBC13A2.02	II	nup82	CDS	changed		2022-08-25	2022-08-25	3400618..3403014				
SPBC13E7.01	II	cwf22	CDS	changed		2009-02-19	2017-04-12	join(3037988..3040332,3040332..3040650)				
SPBC13E7.04	II	atp16	CDS	changed		2011-03-24	2011-03-24	3046852..3047355				
SPBC13E7.07	II		CDS	changed		2014-10-02	2014-11-26	3053066..3053332				
SPBC13E7.10c	II	brf1	CDS	changed		2011-03-24	2011-03-24	complement(join(3056760..3058060,3058218..3058330,3058392..3058456))				
SPBC13G1.04c	II	abh1	CDS	changed		2008-01-23	2015-10-14	complement(join(3732806..3732930,3732994..3733762))				
SPBC13G1.12	II	did2	CDS	changed		2011-03-24	2011-03-24	join(3752361..3752376,3752417..3752436,3752477..3752554,3752757..3752903,3752946..3753014,3753070..3753141,3753194..3753394)				
SPBC13G1.14c	II	rns1	CDS	changed		2022-08-25	2022-08-25	complement(join(3727332..3727657,3727705..3727810,3727877..3728068))				
SPBC13G1.16	II		CDS	added		2011-03-24	2011-03-24	complement(3751472..3751660)		PMID:30925937		
SPBC146.01	II	med15	CDS	changed		2014-07-04	2014-07-04	join(996797..996870,996917..997019,997066..1000080)				
SPBC146.11c	II	mug97	CDS	changed		2011-03-24	2011-03-24	complement(1020296..1021333)				
SPBC146.12	II	coq6	CDS	changed		2011-03-24	2011-03-24	1022416..1023855				
SPBC14C8.01c	II	cut2	CDS	changed		2022-08-25	2022-08-25	complement(2203316..2204206)				
SPBC14C8.08c	II		CDS	merged	SPBC14C8.09c	2009-02-19	2009-02-19	complement(2219430..2219978)			merged with SPBC14C8.09c; frameshifted	PMID:16823372
SPBC14C8.09c	II	dbl3	CDS	changed		2009-02-19	2017-04-12	complement(join(2219430..2219928,2219928..2220322))				
SPBC14C8.11c	II		CDS	changed		2011-03-24	2011-03-24	complement(2222650..2223129)				
SPBC14C8.19	II	tam10	CDS	added		2011-02-04	2011-02-04	complement(join(2218540..2218826,2218874..2218935,2218993..2219047,2219094..2219196))		PMID:21270388		
SPBC15C4.02	II		CDS	changed		2011-03-24	2011-03-24	join(2238826..2239248,2239362..2240344,2240437..2240704)				
SPBC15D4.02	II		CDS	changed		2004-09-15	2011-03-24	3012934..3014577				
SPBC15D4.13c	II		CDS	changed		2008-01-23	2008-01-23	complement(join(3032492..3032710,3032761..3032822,3032889..3033222))				
SPBC1604.04	II		CDS	changed		2011-03-24	2011-03-24	complement(join(3924320..3924389,3924483..3925172,3925219..3925310))				
SPBC1604.17c	II		CDS	changed		2002-09-05	2007-12-19	join(3900047..3900121,3900166..3901170,3901219..3901542)				
SPBC1604.25	II		CDS	added		2008-05-12	2008-05-12	join(3892255..3892350,3892404..3892574)	Solexa prediction	PMID:18488015		
SPBC1652.01	II		CDS	changed		2011-03-24	2011-03-24	4253265..4254440				
SPBC1685.12c	II		CDS	removed		2015-12-11	2015-12-11	complement(523887..524240)			not protein-coding	PMID:24929437, PMID:26615217
SPBC1685.16	II	vma9	CDS	added_and_changed		2004-09-15	2011-03-24	join(501305..501396,501685..501735,501802..501862)		PMID:21511999		
SPBC1685.17	II		CDS	added		2011-03-24	2011-03-24	522740..522985		PMID:24929437		
SPBC16A3.01	II	spn3	CDS	changed		2022-08-25	2022-08-25	complement(join(4299042..4299794,4299858..4300036,4300263..4300452))				
SPBC16A3.14	II		CDS	changed		2007-12-19	2007-12-19	complement(4271131..4271937)				
SPBC16C6.02c	II	vps1302	CDS	changed		2008-04-18	2008-04-18	complement(join(4322829..4331555,4331641..4331793,4331856..4331968,4332007..4332028))				
SPBC16C6.03c	II		CDS	changed		2008-01-23	2011-03-24	complement(join(4332356..4332454,4332541..4332687,4332746..4333123))				
SPBC16C6.14	II	spo2	CDS	added		2008-04-18	2008-04-18	complement(4322221..4322622)	Solexa prediction	PMID:18367542,PMID:18488015		
SPBC16D10.02	II	trm11	CDS	changed		2008-01-23	2008-01-23	join(3588806..3589595,3589639..3589803,3589845..3590123,3590163..3590278,3590327..3590386)				
SPBC16D10.04c	II	dna2	CDS	changed		2011-03-24	2011-03-24	complement(join(3592359..3592685,3592733..3593447,3593496..3596289,3596335..3596692))				
SPBC16D10.07c	II		CDS	changed		2004-09-15	2004-09-15	complement(join(3611446..3612074,3612139..3612575,3612661..3612692,3612823..3612905,3612947..3613009,3613173..3613356))				
SPBC16D10.10	II	tad2	CDS	changed		2007-12-19	2017-04-12	join(3618117..3618179,3618228..3618617,3618658..3618702,3618747..3618920,3618968..3619003,3619003..3619071,3619113..3619321,3619366..3619540)				
SPBC16E9.16c	II	lsd90	CDS	changed		2006-02-19	2022-10-04	complement(join(1947985..1948955,1948954..1950048,1950048..1950255))	sequence orphan; previously annotated as pseudogene; two peptides in mass spec analysis	pers. comm. Dieter Wolf		
SPBC16E9.19	II		CDS	changed		2011-03-24	2011-03-24	join(1921511..1921633,1921865..1922173)				
SPBC16E9.20	II		CDS	added		2011-03-24	2011-03-24	1951792..1952361		PMID:21511999		
SPBC16H5.04	II		CDS	changed		2007-12-19	2007-12-19	complement(join(2293393..2293775,2293877..2294039,2294087..2294125))				
SPBC16H5.11c	II	skb1	CDS	changed		2022-08-25	2022-08-25	join(2277275..2277464,2277514..2279012,2279059..2279247)				
SPBC16H5.12c	II		CDS	changed		2011-02-04	2011-02-04	join(2274073..2274084,2274139..2274301,2274610..2274721,2274781..2276707)				
SPBC1703.05	II		CDS	changed		2011-03-24	2011-03-24	join(2924013..2924078,2924233..2925201)				
SPBC1703.06	II	pof10	CDS	changed		2022-08-25	2022-08-25	join(2925563..2925620,2925675..2927554)				
SPBC1706.01	II	tea4	CDS	changed		2011-03-24	2011-03-24	588729..591194				
SPBC1706.02c	II	wtf2	CDS	changed		2020-05-01	2020-05-01	complement(join(593185..593261,593368..593393,593437..593575))				
SPBC1709.03	II		CDS	changed		2011-03-24	2011-03-24	join(1102314..1102374,1102420..1103075,1103114..1103683)				
SPBC1709.12	II	rid1	CDS	changed		2011-02-04	2011-02-04	join(1122828..1123246,1123385..1123532,1123601..1124133,1124183..1124285)				
SPBC1709.16c	II		CDS	changed		2011-03-24	2011-03-24	complement(join(1130896..1131078,1131152..1131460,1131516..1131823,1131979..1132072))				
SPBC1709.17	II	met7	CDS	changed		2022-08-25	2022-08-25	join(1132227..1132253,1132300..1132431,1132741..1134042)				
SPBC1711.09c	II		CDS	changed		2011-03-24	2011-03-24	complement(join(2150960..2151760,2151809..2151838))				
SPBC1711.10c	II	npl4	CDS	changed		2011-02-04	2011-08-22	complement(join(2152459..2152575,2152627..2154144,2154207..2154287,2154333..2154335))				
SPBC1711.18	II	tam9	CDS	added		2011-02-04	2011-02-04	2145039..2145299		PMID:21270388		
SPBC1734.03	II		CDS	changed		2011-03-24	2011-03-24	1064200..1066401				
SPBC1773.08c	II	omh4	CDS	changed		2011-03-24	2011-03-24	complement(297771..299093)				
SPBC1778.05c	II		CDS	changed		2011-03-24	2011-03-24	complement(join(3105116..3105530,3105652..3105719))				
SPBC1778.10c	II	ppk21	CDS	changed		2011-03-24	2011-03-24	complement(join(3114461..3115394,3115445..3115615,3115679..3115788,3115843..3116079,3116183..3116386))				
SPBC17A3.03c	II		CDS	changed		2011-03-24	2011-03-24	complement(join(1404360..1404567,1404619..1404695,1404757..1404842,1404974..1405466))				
SPBC17A3.07	II	pgr1	CDS	changed		2021-04-20	2021-04-20	multi-transcript				
SPBC17D1.01	II	spp41	CDS	changed		2019-01-29	2019-01-30	join(3326992..3327046,3327094..3327476,3327597..3328913)				
SPBC17D1.06	II	dbp3	CDS	changed		2023-01-13	2023-01-13	3338751..3340340				
SPBC17D1.07c	II		CDS	changed		2011-03-24	2011-03-24	complement(join(3340725..3340899,3340986..3341441,3341488..3341950,3341992..3342226,3342272..3342470,3342510..3343408,3343452..3343659,3343704..3343918))				
SPBC17D1.17	II	tam11	CDS	added		2011-02-04	2011-02-04	complement(3346629..3346817)		PMID:21270388		
SPBC17G9.09	II	tif213	CDS	changed		2014-05-06	2014-05-06	2187712..2189052				
SPBC1861.08c	II	lea1	CDS	changed		2011-12-14	2012-01-17	complement(join(4145289..4145921,4145983..4146063))				
SPBC18E5.09c	II		CDS	changed		2008-08-27	2011-03-24	complement(2090557..2090943)				
SPBC18E5.12c	II	mas2	CDS	changed		2011-03-24	2022-08-25	complement(2096528..2098012)				
SPBC18E5.14c	II		CDS	changed		2008-08-27	2011-03-24	complement(2089944..2090327)				
SPBC18E5.15	II		CDS	changed		2010-01-29	2010-01-29	join(2091892..2091985,2091987..2092234)				
SPBC18H10.08c	II	ubp4	CDS	changed		2009-10-23	2009-10-23	complement(join(1784219..1785748,1785937..1786080,1786141..1786248))				
SPBC18H10.09	II		CDS	changed		2011-03-24	2011-03-24	join(1786332..1786414,1786478..1787607,1787643..1787917)				
SPBC18H10.10c	II	saf4	CDS	changed		2011-03-24	2011-03-24	complement(join(1788047..1788436,1788492..1788740,1788786..1789046))				
SPBC18H10.19	II	atg14	CDS	changed		2011-03-24	2011-03-24	join(1806262..1806498,1806729..1806899,1806964..1807980)				
SPBC18H10.21c	II		CDS	removed		2007-12-19	2007-12-19	complement(join(1811244..1811537,1812093..1812272))			alias SPBC9B6.01c; dubious; unsupported by Solexa transcript data	PMID:18488015
SPBC19C7.11	II		CDS	changed		2011-03-24	2011-03-24	join(2843141..2843276,2843334..2843585,2843628..2844061,2844101..2845579)				
SPBC19F8.07	II	mcs6	CDS	changed		2010-09-01	2010-09-28	3243429..3244436				
SPBC19G7.01c	II	msh2	CDS	changed		2019-09-27	2019-09-29	complement(join(2344457..2347291,2347386..2347468,2347512..2347542))				
"SPBC19G7.01c /controlled_curation=""term=disease associated, cancer; date=20060724"	II	msh2	CDS	added_and_removed		2019-09-27	2019-09-29	complement(join(2344457..2347291,2347386..2347468,2347512..2347542))				PomBase curators
SPBC19G7.04	II		CDS	changed		2022-08-25	2022-08-25	join(2349611..2349654,2349697..2350344,2350388..2350766)				
SPBC19G7.06	II	mbx1	CDS	changed		2007-12-19	2008-02-22	join(2359429..2359479,2359547..2359693,2359845..2359928,2360001..2361092)				
SPBC19G7.10c	II		CDS	changed		2008-01-23	2008-01-23	complement(join(2369064..2369190,2369246..2369416,2369455..2371243,2371351..2371451,2371507..2371583))				
SPBC19G7.18c	II		CDS	changed		2003-08-14	2003-08-14	complement(join(2373872..2374411,2374458..2374528,2374577..2374724))				
SPBC19G7.19	II		CDS	added		2011-03-24	2011-03-24	complement(join(2379749..2379789,2379843..2379885,2379937..2380002))		PMID:21511999		
SPBC1A4.06c	II	tam41	CDS	changed		2009-02-19	2017-04-12	complement(join(1987044..1987100,1987102..1987117,1987119..1987675,1987737..1988015,1988081..1988353))				
SPBC1E8.03c	II		CDS	changed		2017-04-12	2017-04-12	complement(join(1960166..1960392,1960392..1961817))				
SPBC1E8.04	II	Tf2-10	CDS	changed		2012-06-27	2022-12-30	join(1965390..1967475,1967478..1969390)				
SPBC20F10.04c	II	nse4	CDS	changed		2005-07-05	2005-07-05	complement(join(3291266..3291358,3291406..3291497,3291543..3291762,3291801..3291894,3291938..3292196,3292241..3292321,3292365..3292428))				
SPBC21.03c	II		CDS	changed		2008-01-23	2011-03-24	complement(join(3217985..3218424,3218467..3218491,3218641..3218651,3218704..3218947))				
SPBC211.01	II	rsm10	CDS	changed		2011-03-24	2011-03-24	join(3870293..3870372,3870439..3871045)				
SPBC215.06c	II		CDS	changed		2011-03-24	2011-03-24	complement(join(4038119..4038639,4038731..4038752))				
SPBC215.12	II	cwf10	CDS	changed		2011-03-24	2011-03-24	join(4052601..4052626,4052671..4053030,4053069..4053420,4053480..4055696)				
SPBC21B10.02	II		CDS	changed		2007-12-19	2007-12-19	complement(1669719..1670144)				
SPBC21B10.12	II	rec6	CDS	changed		2016-04-19	2016-04-19	complement(join(1649038..1649472,1649558..1649727,1649815..1649878,1650043..1650156))				
SPBC21B10.14	II	ymr31	CDS	added		2011-03-24	2011-03-24	join(1652043..1652085,1652131..1652357)		PMID:21511999		
SPBC21B10.15	II		CDS	added		2011-03-24	2011-03-24	complement(join(1665622..1665749,1665863..1665917))		PMID:21511999		
SPBC21C3.03	II		CDS	changed		2011-03-24	2011-03-24	join(3802197..3802829,3802885..3804330)				
SPBC21C3.07c	II		CDS	changed		2007-12-19	2008-02-22	complement(join(3807827..3807891,3807946..3808607,3808665..3808795))				
SPBC21D10.11c	II	nfs1	CDS	changed		2011-03-24	2011-03-24	2422760..2424265				
SPBC23G7.06c	II		CDS	changed		2009-02-19	2017-04-12	complement(join(2106448..2108180,2108180..2108786))				
SPBC24C6.13	II	new16	CDS	added		2011-02-04	2011-02-04	join(2340670..2340849,2340996..2341088)		PMID:21270388		
SPBC25B2.07c	II	mmb1	CDS	changed		2011-03-24	2013-11-22	complement(2609038..2610543)				
SPBC25D12.05	II	trm1	CDS	changed		2022-08-25	2023-10-15	multi-transcript				
SPBC25D12.06	II		CDS	changed		2011-03-24	2011-03-24	3725370..3727127				
SPBC25H2.10c	II		CDS	changed		2004-09-15	2004-09-15	join(3268815..3268886,3268994..3269104,3269155..3269311,3269397..3269602,3269652..3269795,3269848..3270021)	dihydropteroate synthase (predicted) (ISS); similar to S. cerevisiae YGL232W; updated from pseudogene to coding			
SPBC25H2.11c	II	spt7	CDS	changed		2011-02-04	2011-02-04	join(3263377..3263950,3263992..3264191,3264246..3264284,3264337..3264438,3264481..3264619,3264667..3265910,3265950..3266093,3266137..3266351,3266397..3266718)				
SPBC25H2.18	II	cox20	CDS	added		2011-03-24	2011-03-24	complement(join(3252603..3252799,3252953..3253067,3253134..3253184))		PMID:21511999		
SPBC26H8.16	II		CDS	added		2008-05-12	2008-05-12	complement(join(3963243..3963323,3963394..3963615))	Solexa prediction	PMID:18488015		
SPBC27B12.01c	II	mmm1	CDS	changed		2011-03-24	2011-03-24	complement(join(1321952..1322042,1322087..1322295,1322459..1323100))				
SPBC27B12.02	II		CDS	changed		2011-03-24	2011-03-24	1323731..1324069				
SPBC27B12.05	II		CDS	changed		2011-03-24	2011-03-24	join(1328794..1328838,1328891..1328999,1329082..1329415,1329458..1329555,1329597..1329717,1329765..1329984,1330039..1330467,1330515..1330607)				
SPBC27B12.10c	II	tom7	CDS	changed		2014-07-04	2014-07-04	complement(join(1343913..1343934,1343989..1344025,1344082..1344157,1344214..1344237))				
SPBC29A10.04	II	psm1	CDS	changed		2011-03-24	2011-03-24	join(2540743..2544408,2544455..2544475)				
SPBC29A10.06c	II		CDS	changed		2011-03-24	2011-03-24	complement(join(2547516..2547812,2547869..2548072,2548180..2548575))				
SPBC29A10.17	II		CDS	added_and_changed		2008-05-12	2011-03-24	join(2573829..2573870,2573911..2573945,2573998..2574093,2574137..2574214,2574277..2574487)	Solexa prediction	PMID:18488015		
SPBC29A3.06	II		CDS	changed		2009-02-19	2011-12-14	join(2048228..2049892,2049894..2049896)				
SPBC29A3.07c	II		CDS	changed		2007-12-19	2007-12-19	complement(join(2050258..2050358,2050452..2050695))				
SPBC29A3.08	II	pof4	CDS	changed		2009-08-19	2017-04-12	join(2053033..2053517,2053517..2053823)				
SPBC2A9.05c	II	tvp23	CDS	changed		2022-08-25	2022-08-25	complement(join(2956469..2956904,2956966..2957132))				
SPBC2A9.07c	II		CDS	changed		2008-01-23	2011-03-24	complement(join(2959078..2959129,2959172..2959780,2959879..2959927,2960019..2960049))				
SPBC2A9.08c	II	sec22	CDS	changed		2011-03-24	2011-03-24	complement(join(2961668..2961972,2962036..2962199,2962265..2962409,2962619..2962652))				
SPBC2A9.14	II		CDS	added		2011-03-24	2011-03-24	complement(join(2960603..2960702,2960810..2960910))		PMID:21511999		
SPBC2D10.15c	II		CDS	changed		2008-01-23	2008-01-23	complement(join(2995324..2995497,2995534..2995579,2995619..2995923,2995971..2996066))				
SPBC2D10.16	II		CDS	changed		2008-01-23	2008-01-23	join(2996452..2996463,2996509..2996687,2996738..2996879)				
SPBC2F12.10	II		CDS	changed		2011-03-24	2011-03-24	complement(1719551..1720477)				
SPBC2F12.17	II	cox7	CDS	added		2011-03-24	2011-03-24	complement(join(1715140..1715160,1715211..1715303,1715371..1715436))		PMID:21511999		
SPBC2G2.08	II	ade9	CDS	changed		2011-03-24	2011-03-24	join(3448967..3449103,3449371..3452152)				
SPBC2G2.09c	II	crs1	CDS	changed		2008-07-16	2011-03-04	complement(join(3452323..3452540,3452589..3452769,3452822..3452877,3452918..3453077,3453119..3453406))				
SPBC2G2.12	II	hrs1	CDS	changed		2011-03-24	2011-03-24	3457165..3458856				
SPBC2G2.13c	II		CDS	changed		2011-03-24	2011-03-24	complement(join(3458998..3459104,3459142..3459194,3459234..3459722,3459915..3460234))				
SPBC30B4.01c	II		CDS	changed		2004-09-15	2004-09-15	complement(1300391..1301515)				
SPBC30B4.08	II	eri1	CDS	changed		2006-02-19	2022-08-25	join(1320740..1320819,1320897..1321004,1321066..1321471,1321534..1321833)				
SPBC30B4.09	II		CDS	added		2011-03-24	2011-03-24	complement(1297078..1297233)		PMID:21511999,PMID:30925937		
SPBC30D10.04	II		CDS	changed		2005-07-05	2005-07-05	complement(join(3092724..3093102,3093161..3093327))				
SPBC30D10.08	II	mgm101	CDS	changed		2011-03-24	2011-03-24	complement(3084534..3085346)				
SPBC30D10.09c	II	hva22	CDS	changed		2022-08-25	2022-08-25	join(3083470..3083483,3083527..3083648,3083742..3084106)				
SPBC30D10.16	II	pha2	CDS	changed		2011-03-24	2011-12-14	complement(join(3064223..3065032,3065178..3065231))				
SPBC30D10.21	II	new18	CDS	added		2011-02-04	2011-02-04	join(3089273..3089333,3089393..3089634)		PMID:21270388		
SPBC31A8.02	II		CDS	added_and_changed		2004-09-15	2010-01-29	1268093..1268452				
SPBC31E1.04	II	pep12	CDS	changed		2011-03-24	2011-03-24	join(245718..246297,246428..246639)				
SPBC31F10.08	II	mde2	CDS	changed		2008-08-27	2008-08-27	join(3764820..3765437,3765491..3765709)				
SPBC31F10.09c	II	nut2	CDS	changed		2011-03-24	2011-03-24	complement(3765847..3766281)				
SPBC31F10.12	II		CDS	changed		2008-01-23	2008-01-23	join(3773308..3773318,3773373..3773525,3773581..3773678,3773795..3773999,3774059..3774116,3774192..3774212)				
SPBC31F10.16	II		CDS	changed		2011-03-24	2011-03-24	join(3785848..3785879,3785929..3786055,3786201..3787820,3787876..3788046)				
SPBC31F10.17c	II		CDS	changed		2022-08-25	2022-08-25	complement(join(3788317..3788649,3788725..3788775))				
SPBC32F12.08c	II	duo1	CDS	changed		2017-04-12	2022-10-04	complement(join(2797658..2798040,2798042..2798507))				
SPBC32F12.16	II	new17	CDS	added		2011-02-04	2011-02-04	2788470..2788745		PMID:21270388		
SPBC32F12.17	II		CDS	added_and_removed		2011-03-24	2015-12-11	complement(2805085..2805417)			not protein-coding	PMID:24929437, PMID:26615217
SPBC32H8.08c	II	omh5	CDS	changed		2008-01-23	2022-09-16	complement(join(1465811..1466035,1466138..1467057,1467311..1467317))				
SPBC32H8.15	II		CDS	added		2011-03-24	2011-03-24	1455028..1455333		PMID:21511999		
SPBC336.10c	II	tif512	CDS	changed		2011-03-24	2022-08-25	complement(2758761..2759234)				
SPBC336.16	II		CDS	added		2011-03-24	2011-03-24	complement(2732701..2732916)		PMID:21511999		
SPBC337.02c	II		CDS	changed		2009-08-19	2009-08-19	complement(join(1032857..1033607,1033610..1033776))				
SPBC337.12	II		CDS	changed		2011-03-24	2011-03-24	join(1052080..1052122,1052339..1052368,1052414..1053471)				
SPBC337.16	II	cho1	CDS	changed		2022-08-25	2022-08-25	join(1058422..1058951,1059007..1059067)				
SPBC354.06	II	mrps16	CDS	changed		2011-03-24	2011-03-24	join(555893..555969,556399..556579,556846..556878)				
SPBC354.07c	II		CDS	changed		2007-12-19	2011-03-24	complement(join(558335..559225,559273..559474,560003..560028,560151..560163,560231..560292))				
SPBC354.11c	II		CDS	removed		2015-12-11	2015-12-11	complement(575773..576291)			not protein-coding	PMID:24929437, PMID:26615217
SPBC36.13	II		CDS	added_and_removed		2011-03-24	2015-12-11	complement(845807..846079)			not protein-coding	PMID:24929437, PMID:26615217
SPBC36B7.06c	II	mug20	CDS	changed		2011-03-24	2011-03-24	complement(join(2392551..2392604,2392659..2392926,2392970..2393103))				
SPBC3B8.10	II	ina17	CDS	added_and_changed		2015-11-28	2022-12-12	join(3390968..3391069,3391178..3391304,3391351..3391382)		PMID:25883323,PMID:26494834		
SPBC3B9.22c	II	dad4	CDS	added_and_changed		2005-07-05	2006-02-19	complement(join(4006057..4006170,4006230..4006334))	DASH complex subunit Dad4 (predicted)	pers. comm. Xiangwei He		
SPBC3D6.04c	II	mad1	CDS	changed		2013-11-26	2013-11-26	complement(join(1274979..1276897,1276948..1277059))				
SPBC3D6.16	II		CDS	added		2005-07-05	2005-07-05	join(1297815..1297863,1297922..1298160)	sequence orphan			
SPBC3E7.04c	II		CDS	changed		2010-01-29	2011-03-24	complement(join(2662488..2662650,2662697..2662759,2662838..2663575,2663638..2663774,2663828..2663941,2664036..2664236,2664476..2664652))				
SPBC3E7.17	II		CDS	added		2010-01-29	2010-01-29	2661796..2661978				
SPBC3H7.18	II	tam8	CDS	added		2011-02-04	2011-02-04	1864520..1864753		PMID:21270388		
SPBC4.02c	II		CDS	changed		2008-01-23	2008-01-23	complement(join(1185617..1186640,1186738..1186846,1187087..1187162,1187220..1187324))				
SPBC409.12c	II		CDS	changed		2006-02-19	2006-09-22	complement(join(1162796..1163565,1163720..1163818,1163874..1163982))				
SPBC409.23	II	tam7	CDS	added		2011-02-04	2011-02-04	join(1164318..1164492,1164842..1164885)		PMID:21270388		
SPBC428.01c	II	nup107	CDS	changed		2004-09-15	2022-08-25	complement(join(439274..441187,441229..441337,441392..441484,441541..441667,441718..441751,441793..441840,441916..441975))				
SPBC428.02c	II	eca39	CDS	changed		2011-03-24	2011-03-24	complement(442631..443914)				
SPBC428.06c	II	rxt2	CDS	changed		2011-03-24	2011-03-24	complement(join(451989..452416,452597..452705,452755..452879,452930..452964,453014..453039))				
SPBC428.10	II		CDS	changed		2011-03-24	2011-03-24	461024..463561				
SPBC428.18	II	cdt1	CDS	changed		2022-08-25	2022-08-25	477431..478699				
SPBC428.20c	II	alp6	CDS	changed		2008-02-22	2011-03-24	complement(join(481076..481552,481606..483437,483478..483539,483579..483706))				
SPBC4F6.10	II	vps901	CDS	changed		2011-02-04	2017-04-12	join(2708076..2709414,2709414..2709793)				
SPBC4F6.13c	II		CDS	changed		2011-03-24	2011-03-24	complement(2714424..2716646)				
SPBC530.05	II		CDS	changed		2011-03-24	2011-03-24	796583..798871				
SPBC530.06c	II		CDS	changed		2003-08-14	2003-08-14	complement(join(800042..801738,801740..803551,803739..803751))				
SPBC530.12c	II	pdf1	CDS	changed		2011-03-24	2011-03-24	complement(821281..823149)				
SPBC530.13	II	lsc1	CDS	changed		2011-03-24	2017-04-17	join(824374..824534,824579..824660,824874..824999,825065..825188,825245..825747)				
SPBC530.16	II	ksh1	CDS	added		2011-02-04	2011-02-04	complement(join(789840..789896,789966..790017,790090..790199,790238..790240))		PMID:21270388		
SPBC56F2.11	II	met6	CDS	changed		2011-03-24	2011-03-24	complement(join(4089279..4089318,4089361..4090826))				
SPBC56F2.14	II	mrpl44	CDS	added		2004-09-15	2004-09-15	join(4127683..4127872,4127946..4128058)	ribosomal protein, mitochondrial L44 (predicted); similar to S. cerevisiae YMR225C; identified in targeted search for S. cerevisiae MRP144 ortholog			
SPBC56F2.15	II	tam13	CDS	added		2011-02-04	2011-02-04	complement(4103472..4103759)		PMID:21270388		
SPBC577.05c	II	rec27	CDS	changed		2002-03-22	2017-09-14	complement(join(757566..757746,757796..757951,758002..758042))				
SPBC582.04c	II		CDS	changed		2008-01-23	2008-01-23	complement(join(423269..423598,423669..423738,423782..423871,423912..424373,424424..424692,424747..424872,424921..425160,425223..425350,425410..425446))				
SPBC582.05c	II	brc1	CDS	changed		2022-08-25	2022-08-25	complement(join(426160..428547,428634..428771,428873..428896))				
SPBC582.07c	II	rpn7	CDS	changed		2022-08-25	2022-08-25	complement(430551..431744)				
SPBC582.08	II	alt1	CDS	changed		2022-08-25	2022-08-25	join(432595..433012,433204..434003,434057..434311)				
SPBC646.06c	II	agn2	CDS	changed		2005-07-05	2005-07-05	complement(933681..934982)				
SPBC646.15c	II		CDS	changed		2011-03-24	2011-03-24	complement(join(955201..955214,955257..955369,955435..955992,956037..956301,956344..956488))				
SPBC651.06	II	mug166	CDS	changed		2008-08-27	2011-03-24	1247484..1248188				
SPBC651.07	II		CDS	changed		2008-08-27	2011-03-24	join(1248596..1248606,1248692..1248921,1248991..1249073,1249135..1249617)				
SPBC660.08	II		CDS	changed		2011-03-24	2011-03-24	join(209802..209825,209922..211172)				
SPBC660.11	II	tcg1	CDS	changed		2011-03-24	2011-03-24	join(215144..215355,215606..215807,215861..216496)				
SPBC685.02	II	exo5	CDS	changed		2023-11-10	2023-11-10	multi-transcript				
SPBC685.09	II	orc2	CDS	changed		2022-08-25	2022-08-25	2782066..2783565				
SPBC691.05c	II	ist2	CDS	changed		2016-12-18	2016-12-21	complement(join(1430755..1432230,1432360..1432890))				
SPBC6B1.09c	II		CDS	changed		2002-09-05	2003-08-14	complement(join(2650545..2650808,2650855..2652023,2652066..2652145,2652185..2652333,2652438..2652526,2652565..2652618,2652678..2652714))				
SPBC6B1.12c	II		CDS	added		2004-09-15	2004-09-15	complement(join(2649870..2650116,2650185..2650264))	SAGA histone acetylase complex (predicted); involved in nuclear export (predicted); similar to S. cerevisiae YBR111W-A; identified in targeted search for S. cerevisiae SUS1 ortholog	PMID:21511999		
SPBC713.11c	II	pmp3	CDS	changed		2011-03-24	2011-03-24	complement(join(887999..888142,888513..888542))				
SPBC713.13	II		CDS	added_and_merged	SPBC713.14c	2011-03-24	2016-03-17	complement(890220..890546)			deleted; ID added as synonym to SPBC713.14c	PMID:24929437
SPBC713.14c	II		CDS	added		2014-07-04	2014-07-04	complement(890116..890343)	identified by ribosome profiling	PMID:24929437		
SPBC725.04	II		CDS	changed		2007-09-19	2008-01-23	join(1208965..1210626,1210678..1210722)				
SPBC725.10	II		CDS	changed		2011-03-24	2011-03-24	join(1224974..1225441,1225969..1225995)				
SPBC725.12	II	nbl1	CDS	changed		2009-02-19	2009-02-19	join(1227762..1227876,1227926..1228094,1228166..1228307)				
SPBC776.02c	II	dis2	CDS	changed		2021-04-20	2021-10-28	multi-transcript				
SPBC776.05	II		CDS	changed		2011-03-24	2011-03-24	join(3182005..3182184,3182236..3182507,3182584..3182653,3182692..3182816,3182860..3183120,3183169..3183368,3183418..3183521)				
SPBC776.06c	II		CDS	changed		2011-03-24	2011-03-24	complement(join(3183676..3183771,3183827..3185602))				
